Customer ID,Date,Time,Hour,Day of Week,Direction,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance (km),ETA (min)
C001,2023-01-01,09:48:00,9,Sunday,Home_to_Office,12.874908023769473,77.69391692555291,12.806285837137347,77.68165317719334,7.75,18.16
C001,2023-01-01,17:17:00,17,Sunday,Office_to_Home,12.806285837137347,77.68165317719334,12.874908023769473,77.69391692555291,7.75,22.59
C002,2023-01-01,08:17:00,8,Sunday,Home_to_Office,12.990142861281983,77.65502656467223,12.927282082252756,77.54791237813339,13.55,42.25
C002,2023-01-01,17:40:00,17,Sunday,Office_to_Home,12.927282082252756,77.54791237813339,12.990142861281983,77.65502656467223,13.55,39.86
C003,2023-01-01,07:03:00,7,Sunday,Home_to_Office,12.94639878836228,77.68789978831283,12.862871196215266,77.52897897441825,19.57,49.97
C003,2023-01-01,19:02:00,19,Sunday,Office_to_Home,12.862871196215266,77.52897897441825,12.94639878836228,77.68789978831283,19.57,59.48
C004,2023-01-01,07:32:00,7,Sunday,Home_to_Office,12.919731696839408,77.67896547008553,12.901714138232942,77.59789055205552,9.01,20.59
C004,2023-01-01,18:54:00,18,Sunday,Office_to_Home,12.901714138232942,77.59789055205552,12.919731696839408,77.67896547008553,9.01,19.23
C005,2023-01-01,08:45:00,8,Sunday,Home_to_Office,12.831203728088488,77.61957999576222,12.981513294785218,77.69713009082213,18.71,43.79
C005,2023-01-01,19:53:00,19,Sunday,Office_to_Home,12.981513294785218,77.69713009082213,12.831203728088488,77.61957999576222,18.71,50.75
C006,2023-01-01,09:26:00,9,Sunday,Home_to_Office,12.831198904067241,77.68437484700462,12.849858445829776,77.5484110543023,14.89,35.69
C006,2023-01-01,19:32:00,19,Sunday,Office_to_Home,12.849858445829776,77.5484110543023,12.831198904067241,77.68437484700462,14.89,35.86
C007,2023-01-01,07:59:00,7,Sunday,Home_to_Office,12.81161672243364,77.51769850041039,12.882076584607127,77.63442710948118,14.88,38.7
C007,2023-01-01,19:48:00,19,Sunday,Office_to_Home,12.882076584607127,77.63442710948118,12.81161672243364,77.51769850041039,14.88,37.28
C008,2023-01-01,07:43:00,7,Sunday,Home_to_Office,12.973235229154987,77.53919657248383,12.95111022770861,77.65232392306575,12.5,30.55
C008,2023-01-01,17:36:00,17,Sunday,Office_to_Home,12.95111022770861,77.65232392306575,12.973235229154987,77.53919657248383,12.5,32.02
C009,2023-01-01,07:48:00,7,Sunday,Home_to_Office,12.920223002348642,77.50904545778211,12.845759633098325,77.54752750879848,9.27,19.03
C009,2023-01-01,17:51:00,17,Sunday,Office_to_Home,12.845759633098325,77.54752750879848,12.920223002348642,77.50904545778211,9.27,22.17
C010,2023-01-01,09:20:00,9,Sunday,Home_to_Office,12.941614515559209,77.56506606615265,12.815395981965759,77.64564326972237,16.53,41.71
C010,2023-01-01,19:17:00,19,Sunday,Office_to_Home,12.815395981965759,77.64564326972237,12.941614515559209,77.56506606615265,16.53,48.68
